id;nom;adresse;ville;code_postal
1;parce que paf au cas où;magnifique;au défaut de fonctionner;16292
2;clientèle;conformer dans la mesure où;électorat fort neutre;23842
3;solitaire trop peu;hi de;peu;16211
4;loufoque dans;dedans jaillir diplomate;moyennant au-dessus de hôte;19750
5;ouah vouh;trop sauf;quand;15829
6;quoique clientèle;snif;partenaire demain;3804
7;trop triathlète euh;au moyen de;contre afin de;16670
8;en bas de auprès de tantôt;malgré;actionnaire d’autant que sus;6528
9;commis de crainte que;bien que trop;contenir;31420
10;habiter membre titulaire envers;interdire;fonctionner suivre électorat;28940
