id;date;frequence_jour;echeance;tache
1;2023-12-05T14:14:03;8134;2023-12-04;souvent
2;2023-12-05T06:51:24;24536;2023-12-05;incorporer de façon que
3;2023-12-04T18:56:14;5696;2023-12-04;frémir svelte spécialiste
4;2023-12-04T18:59:23;25611;2023-12-05;raide à défaut de  délégation
5;2023-12-05T12:47:57;30092;2023-12-05;sincère jamais ronron
6;2023-12-05T01:41:13;2025;2023-12-05;calme blablabla
7;2023-12-05T10:53:30;16131;2023-12-05;avare
8;2023-12-04T16:37:23;20133;2023-12-05;au-dessus de lunatique dans la mesure où
9;2023-12-05T04:24:49;20601;2023-12-05;miam pauvre cocorico
10;2023-12-04T22:41:29;18636;2023-12-05;installer assurer
