id;nom;date;apport_calorique;poids_consomme;description
1;céans jeune envoyer;2023-12-04T22:03:54;20015.11;15040.39;rudement toc-toc pendant que
2;du fait que;2023-12-04T21:29:47;24382.96;27885.98;même
3;à demi croire;2023-12-05T00:34:10;10734.89;24508.79;hystérique fumer drelin
4;administration conquérir;2023-12-05T13:41:37;2149.98;29658.97;pendant que sédentaire incalculable
5;porte-parole clientèle;2023-12-05T10:39:39;19855.11;2238.97;oh étant donné que dîner
6;équipe de recherche même si environ;2023-12-05T02:25:50;5945.77;8318.47;pauvre blablabla de peur que
7;touchant;2023-12-04T23:31:01;32426.88;4081.37;au-dessus
8;au-dessous pin-pon même si;2023-12-04T19:29:42;28785.19;7050.89;hôte
9;maintenant quelque oh;2023-12-04T15:37:48;27966.01;178.72;cocorico délégation
10;bof;2023-12-05T13:26:32;27264.58;29098.53;fourbe vaincre
